datetime,Unnamed: 0.1,Unnamed: 0,Site Name,Management Domain,ManageObject_x,Ambient temperature(℃),PV Temperature(℃),Wind speed(m/s),Wind direction(°),Daily irradiation(MJ/㎡),Irradiance(W/㎡),Device connection status,ManageObject_y,Inverter status,Grid voltage/Grid AB line voltage(V),BC line voltage(V),CA line voltage(V),Phase A voltage(V),Phase B voltage(V),Phase C voltage(V),Grid current/Grid phase A current(A),Phase B current(A),Phase C current(A),Inverter efficiency(%),Device internal temperature(℃),Power factor,Grid frequency(Hz),Active power(kW),Output reactive power(kvar),Daily energy(kWh),Total input power(kW),PV1 input voltage(V),PV2 input voltage(V),PV3 input voltage(V),PV4 input voltage(V),PV5 input voltage(V),PV6 input voltage(V),PV7 input voltage(V),PV8 input voltage(V),PV9 input voltage(V),PV10 input voltage(V),PV11 input voltage(V),PV12 input voltage(V),PV13 input voltage(V),PV14 input voltage(V),PV15 Input Voltage(V),PV16 Input Voltage(V),PV17 Input Voltage(V),PV18 Input Voltage(V),PV19 Input Voltage(V),PV20 Input Voltage(V),PV1 input current(A),PV2 input current(A),PV3 input current(A),PV4 input current(A),PV5 input current(A),PV6 input current(A),PV7 input current(A),PV8 input current(A),PV9 input current(A),PV10 input current(A),PV11 input current(A),PV12 input current(A),PV13 input current(A),PV14 input current(A),PV15 Input Current(A),PV16 Input Current(A),PV17 Input Current(A),PV18 Input Current(A),PV19 Input Current(A),PV20 Input Current(A),Cumulative energy(kWh),Inverter startup time,Inverter shutdown time,MPPT 1 DC cumulative energy(kWh),MPPT 2 DC cumulative energy(kWh),MPPT 3 DC cumulative energy(kWh),MPPT 4 DC cumulative energy(kWh),MPPT 5 DC cumulative energy(kWh),MPPT 6 DC cumulative energy(kWh),MPPT 7 DC cumulative energy(kWh),MPPT 8 DC cumulative energy(kWh),MPPT 9 DC cumulative energy(kWh),MPPT 10 DC cumulative energy(kWh),Monthly energy(kWh),Annual energy(kWh),Voltage between PV– and the ground(V),Total DC input energy(kWh),Accumulated amount of absorbed electricity(kWh),time,year,month,day,hour,dayofweek,dayname,hourofweek,hourofmonth,date,Hieu suat,date_ordinal,stt,hstt,saiso
2022-03-24 11:50:00,3094,3094,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,28.7,46.6,2.8,,8.35,1021.8,Online,1020C0058922/INVT_08,Grid connected,403.6,398.7,399.4,234.6,230.6,229.3,156.611,157.178,156.928,97.99,62.6,1.0,50.09,108.8,2.441,253.25,110.952,678.6,678.6,693.7,693.7,680.2,680.2,680.9,680.9,689.7,689.7,683.2,683.2,679.0,679.0,690.8,690.8,682.5,682.5,694.1,694.1,16.06,0.0,0.0,16.02,16.36,0.0,0.0,16.04,15.98,0.0,0.0,15.97,16.51,0.0,16.21,0.0,0.0,16.42,16.03,0.0,5434.87,2022/03/24 05:34:23,2022/03/23 17:55:20,554.98,562.38,559.38,548.55,557.41,549.81,562.89,570.21,559.92,567.6,5430.56,5432.19,0.0,5593.13,0.0,2022-03-24 11:50:00,2022,3,24,11,3,Thursday,83,563,2022-03-24,17.439832897347284,738238,1,17.52839171455514,-0.00505230705988392
2022-03-25 12:05:00,3252,3252,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,32.4,48.5,3.0,,12.415,973.4,Online,1020C0058922/INVT_08,Grid connected,396.2,392.4,393.0,230.4,226.2,225.5,151.335,152.358,152.055,98.15,71.1,0.999,50.12,103.267,-1.254,365.29,105.246,645.9,645.9,642.0,642.0,658.1,658.1,646.6,646.6,631.1,631.1,640.6,640.6,647.1,647.1,643.5,643.5,638.9,638.9,630.7,630.7,16.2,0.0,0.0,16.48,16.01,0.0,0.0,16.2,16.3,0.0,0.0,16.29,16.5,0.0,16.57,0.0,0.0,16.67,16.8,0.0,6114.51,2022/03/25 05:36:17,2022/03/24 17:58:23,623.79,631.98,629.0,617.02,626.68,618.54,632.96,640.81,629.89,637.67,6110.09,6111.72,0.0,6288.34,0.0,2022-03-25 12:05:00,2022,3,25,12,4,Friday,108,588,2022-03-25,17.365501888707627,738239,2,17.524405890443123,-0.009067582817295652
2022-03-28 13:15:00,3607,3607,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,27.8,40.8,4.3,,9.606,1021.3,Online,1020C0058922/INVT_08,Grid connected,394.1,390.7,392.0,229.1,225.0,224.7,160.403,161.042,161.041,97.7,50.6,0.996,50.05,109.007,-0.962,283.39,111.574,732.6,732.6,733.7,733.7,732.3,732.3,728.2,728.2,726.4,726.4,730.5,730.5,722.7,722.7,722.2,722.2,719.9,719.9,717.6,717.6,15.21,0.0,0.0,15.14,15.3,0.0,0.0,15.16,15.1,0.0,0.0,15.08,15.45,0.0,15.33,0.0,0.0,15.41,15.19,0.0,7316.28,2022/03/28 08:14:07,2022/03/27 06:51:26,745.9,755.12,752.21,738.21,748.99,740.14,757.08,765.43,753.65,761.54,7311.77,7313.4,0.0,7518.27,0.0,2022-03-28 13:15:00,2022,3,28,13,0,Monday,13,661,2022-03-28,17.546187006390372,738242,5,17.512448418107066,0.0019265489026892416
2022-03-30 11:00:00,3892,3892,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,30.9,45.2,0.0,,5.455,1034.8,Online,1020C0058922/INVT_08,Grid connected,400.0,395.5,396.0,232.8,228.2,227.3,160.408,161.048,160.928,97.78,46.7,1.0,50.03,110.0,1.162,168.94,112.555,723.9,723.9,728.6,728.6,722.1,722.1,722.5,722.5,723.9,723.9,723.9,723.9,722.5,722.5,725.8,725.8,723.3,723.3,728.9,728.9,15.34,0.0,0.0,15.33,15.54,0.0,0.0,15.26,15.32,0.0,0.0,15.28,15.7,0.0,15.54,0.0,0.0,15.55,15.4,0.0,8158.56,2022/03/30 05:32:07,2022/03/29 18:03:49,831.64,841.01,838.54,822.81,834.42,825.44,844.27,852.52,839.81,848.57,8154.15,8155.78,0.0,8379.03,0.0,2022-03-30 11:00:00,2022,3,30,11,2,Wednesday,59,707,2022-03-30,17.469539409727158,738244,7,17.504476769883027,-0.001995909995777747
2022-04-07 11:40:00,5147,1015,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,28.2,46.6,4.3,,11.163,991.5,Online,1020C0058922/INVT_08,Grid connected,401.5,396.9,398.4,234.2,229.1,228.4,153.393,153.959,153.806,98.09,65.8,1.0,50.1,106.126,-0.282,342.18,108.226,678.4,678.4,691.2,691.2,679.6,679.6,680.4,680.4,687.9,687.9,682.7,682.7,679.6,679.6,689.4,689.4,680.4,680.4,691.3,691.3,15.7,0.0,0.0,15.65,15.83,0.0,0.0,15.65,15.64,0.0,0.0,15.58,15.99,0.0,15.89,0.0,0.0,15.94,15.67,0.0,10654.84,2022/04/07 05:25:47,2022/04/06 17:56:29,1087.39,1096.51,1096.09,1074.19,1089.72,1077.85,1103.52,1112.56,1096.14,1107.77,2042.72,10652.06,0.0,10941.74,0.0,2022-04-07 11:40:00,2022,4,7,11,3,Thursday,83,155,2022-04-07,17.531213202212133,738252,15,17.472590176986877,0.003355142233145709
2022-04-17 10:45:00,6723,2591,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,30.8,43.0,1.4,,6.357,1033.7,Online,1020C0058922/INVT_08,Grid connected,403.2,397.6,398.3,234.5,229.8,229.1,157.655,158.237,157.836,97.71,52.7,1.0,50.17,109.239,0.265,195.21,111.788,722.2,722.2,729.6,729.6,722.3,722.3,723.2,723.2,725.1,725.1,723.3,723.3,722.0,722.0,728.1,728.1,722.9,722.9,730.0,730.0,15.24,0.0,0.0,15.16,15.35,0.0,0.0,15.18,15.14,0.0,0.0,15.07,15.47,0.0,15.36,0.0,0.0,15.46,15.19,0.0,16308.18,2022/04/17 05:17:34,2022/04/16 17:53:50,1656.44,1677.96,1672.0,1638.67,1668.29,1645.56,1682.64,1703.25,1674.57,1693.17,7695.96,16305.3,0.0,16712.83,0.0,2022-04-17 10:45:00,2022,4,17,10,6,Sunday,154,394,2022-04-17,17.36895750143433,738262,25,17.43273193586669,-0.0036583155564475283
2022-04-21 10:00:00,7356,3224,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,27.1,39.3,0.6,,6.431,969.7,Online,1020C0058922/INVT_08,Grid connected,397.9,394.3,395.2,230.5,227.0,226.7,152.963,153.465,153.356,98.07,56.0,1.0,49.96,105.0,0.29,186.51,107.033,669.3,669.3,681.0,681.0,680.7,680.7,676.8,676.8,693.1,693.1,669.6,669.6,665.1,665.1,688.2,688.2,672.6,672.6,685.6,685.6,15.55,0.0,0.0,15.69,15.59,0.0,0.0,15.62,15.33,0.0,0.0,15.8,16.18,0.0,15.78,0.0,0.0,15.98,15.73,0.0,18301.14,2022/04/21 05:09:09,2022/04/20 18:03:59,1859.27,1881.94,1875.99,1838.71,1870.99,1846.39,1887.94,1909.79,1879.46,1898.88,9689.02,18298.36,0.0,18749.36,0.0,2022-04-21 10:00:00,2022,4,21,10,3,Thursday,82,490,2022-04-21,17.727740475609075,738266,29,17.416788639418616,0.017853568911475187
2022-04-22 11:00:00,7530,3398,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,32.1,49.7,1.2,,9.734,979.2,Online,1020C0058922/INVT_08,Grid connected,401.2,396.1,397.9,232.3,229.5,228.1,150.784,151.476,151.11,98.11,56.9,1.0,50.06,104.078,-0.184,254.6,106.061,647.9,647.9,665.1,665.1,654.6,654.6,658.0,658.0,657.7,657.7,653.9,653.9,652.4,652.4,656.1,656.1,645.0,645.0,651.1,651.1,16.12,0.0,0.0,15.92,16.07,0.0,0.0,15.81,15.98,0.0,0.0,16.02,16.32,0.0,16.31,0.0,0.0,16.58,16.43,0.0,19005.22,2022/04/22 05:11:56,2022/04/21 18:06:50,1929.55,1954.49,1947.43,1908.35,1943.1,1916.81,1959.47,1983.59,1951.55,1972.11,10393.0,19002.34,0.0,19466.45,0.0,2022-04-22 11:00:00,2022,4,22,11,4,Friday,107,515,2022-04-22,17.396320301577436,738267,30,17.4128028153066,-0.0009465744202118554
2022-04-23 12:55:00,7713,3581,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,31.6,46.0,2.7,,15.159,960.1,Online,1020C0058922/INVT_08,Grid connected,391.6,386.9,388.9,228.1,223.8,223.5,152.237,152.846,152.661,98.04,54.7,1.0,50.01,102.726,2.258,406.74,104.694,720.5,720.5,720.3,720.3,719.9,719.9,720.2,720.2,719.2,719.2,719.2,719.2,720.0,720.0,720.3,720.3,719.7,719.7,719.8,719.8,14.39,0.0,0.0,14.41,14.41,0.0,0.0,14.3,14.42,0.0,0.0,14.39,14.53,0.0,14.63,0.0,0.0,14.68,14.47,0.0,19754.59,2022/04/23 05:09:53,2022/04/22 17:57:21,2004.62,2031.59,2023.57,1982.8,2019.76,1991.7,2035.74,2061.79,2027.81,2049.78,11142.47,19751.81,0.0,20229.16,0.0,2022-04-23 12:55:00,2022,4,23,12,5,Saturday,132,540,2022-04-23,17.513720150303364,738268,31,17.40881699119458,0.006025863742599137
2022-04-28 11:40:00,8507,4375,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,31.7,47.2,3.0,,12.52,960.7,Online,1020C0058922/INVT_08,Grid connected,406.0,401.4,403.5,236.3,232.2,231.5,144.388,145.101,144.63,98.2,70.6,1.0,50.05,100.861,-0.159,360.48,102.783,650.7,650.7,657.8,657.8,650.9,650.9,645.6,645.6,656.5,656.5,651.9,651.9,653.2,653.2,663.7,663.7,646.9,646.9,665.5,665.5,15.7,0.0,0.0,15.77,15.59,0.0,0.0,15.5,15.51,0.0,0.0,15.47,15.72,0.0,15.67,0.0,0.0,15.82,15.59,0.0,22904.73,2022/04/28 05:04:55,2022/04/27 18:02:49,2324.41,2354.37,2345.49,2299.24,2340.55,2308.64,2359.34,2388.62,2350.54,2375.19,14292.51,22901.85,0.0,23446.39,0.0,2022-04-28 11:40:00,2022,4,28,11,3,Thursday,83,659,2022-04-28,17.18330035664283,738273,36,17.388887870634484,-0.011822924819639478
2022-04-29 11:05:00,8660,4528,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,32.5,46.8,1.1,,9.259,959.7,Online,1020C0058922/INVT_08,Grid connected,397.9,394.2,396.2,231.6,227.5,227.1,149.146,150.134,149.65,98.11,57.9,0.999,50.12,102.464,-0.351,263.16,104.459,661.9,661.9,672.0,672.0,665.7,665.7,664.6,664.6,665.0,665.0,668.0,668.0,659.5,659.5,668.5,668.5,666.9,666.9,669.7,669.7,15.55,0.0,0.0,15.48,15.56,0.0,0.0,15.52,15.77,0.0,0.0,15.43,15.77,0.0,15.68,0.0,0.0,15.71,15.76,0.0,23526.78,2022/04/29 05:11:56,2022/04/28 18:05:01,2387.85,2417.87,2409.23,2362.17,2403.6,2371.51,2423.52,2452.76,2414.37,2439.08,14914.66,23524.0,0.0,24081.96,0.0,2022-04-29 11:05:00,2022,4,29,11,4,Friday,107,683,2022-04-29,17.481691489854633,738274,37,17.384902046522466,0.00556744254716855
2022-05-06 12:00:00,9798,889,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,29.3,43.5,3.1,,12.445,1023.3,Online,1020C0058922/INVT_08,Grid connected,401.0,396.8,397.1,232.8,228.7,228.5,160.65,161.221,161.092,98.06,66.3,1.0,50.06,110.0,-0.839,365.79,112.176,695.2,695.2,707.3,707.3,692.1,692.1,689.0,689.0,695.2,695.2,685.6,685.6,679.2,679.2,689.3,689.3,674.5,674.5,686.8,686.8,16.31,0.0,0.0,16.22,16.45,0.0,0.0,16.24,16.21,0.0,0.0,16.17,16.6,0.0,16.59,0.0,0.0,16.37,16.28,0.0,26295.96,2022/05/06 05:06:30,2022/05/05 18:02:58,2670.46,2700.82,2693.83,2640.63,2685.45,2650.96,2709.5,2740.12,2698.16,2725.13,2135.82,26293.18,0.0,26915.06,0.0,2022-05-06 12:00:00,2022,5,6,12,4,Friday,108,132,2022-05-06,17.60637947917718,738281,44,17.357001277738334,0.014367585589723425
2022-05-11 12:15:00,10616,1707,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,31.0,50.9,3.1,,11.182,961.3,Online,1020C0058922/INVT_08,Grid connected,396.3,392.1,394.0,230.2,225.9,225.6,148.715,149.354,148.886,98.14,62.7,1.0,49.94,101.473,1.112,327.26,103.396,638.0,638.0,643.8,643.8,635.9,635.9,635.9,635.9,648.7,648.7,631.5,631.5,635.9,635.9,650.0,650.0,637.1,637.1,643.3,643.3,15.83,0.0,0.0,16.0,16.2,0.0,0.0,15.99,15.9,0.0,0.0,16.13,16.21,0.0,15.97,0.0,0.0,16.05,16.33,0.0,29003.53,2022/05/11 05:04:10,2022/05/10 18:08:40,2945.08,2978.12,2970.92,2912.48,2961.62,2923.42,2988.69,3022.34,2976.4,3005.09,4843.38,29000.74,0.0,29684.16,0.0,2022-05-11 12:15:00,2022,5,11,12,2,Wednesday,60,252,2022-05-11,17.274992922165943,738286,49,17.33707215717824,-0.003580721960979726
2022-05-17 10:55:00,11569,2660,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,32.3,51.0,1.3,,6.439,1021.3,Online,1020C0058922/INVT_08,Grid connected,403.1,398.5,400.3,234.2,229.3,229.1,160.01,160.436,160.422,98.08,58.8,0.999,49.9,110.0,0.55,202.23,112.108,681.6,681.6,684.9,684.9,684.6,684.6,678.0,678.0,674.5,674.5,678.0,678.0,663.6,663.6,663.0,663.0,655.5,655.5,650.8,650.8,16.76,0.0,0.0,16.71,16.88,0.0,0.0,16.73,16.65,0.0,0.0,16.61,17.01,0.0,16.87,0.0,0.0,17.05,16.77,0.0,32157.79,2022/05/17 05:12:40,2022/05/16 18:10:41,3262.49,3302.28,3293.51,3227.76,3283.66,3241.23,3311.22,3351.59,3299.35,3330.52,7997.66,32155.02,0.0,32903.61,0.0,2022-05-17 10:55:00,2022,5,17,10,1,Tuesday,34,394,2022-05-17,17.630164132435976,738292,55,17.31315721250613,0.018310173935280612
2022-05-18 12:30:00,11751,2842,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,31.1,55.2,2.5,,12.637,1024.1,Online,1020C0058922/INVT_08,Grid connected,399.1,394.4,396.2,231.5,227.1,227.1,160.799,161.414,161.189,98.09,72.2,0.999,50.04,110.0,0.466,374.3,112.039,663.1,663.1,662.6,662.6,662.3,662.3,662.6,662.6,661.7,661.7,661.9,661.9,662.2,662.2,662.5,662.5,661.8,661.8,662.1,662.1,16.9,0.0,0.0,17.88,17.18,0.0,0.0,16.85,17.43,0.0,0.0,16.52,16.19,0.0,16.6,0.0,0.0,16.26,16.79,0.0,32680.91,2022/05/18 05:04:04,2022/05/17 17:59:29,3315.58,3355.83,3347.18,3280.35,3336.97,3293.89,3365.08,3406.15,3352.92,3384.55,8520.88,32678.24,0.0,33438.5,0.0,2022-05-18 12:30:00,2022,5,18,12,2,Wednesday,60,420,2022-05-18,17.57114005047031,738293,56,17.309171388394113,0.015134673763288715
2022-05-21 11:20:00,12232,3323,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,32.5,52.2,1.1,,8.005,1046.2,Online,1020C0058922/INVT_08,Grid connected,403.8,398.5,400.3,234.9,230.5,230.5,157.871,158.482,158.307,98.14,61.3,1.0,50.09,109.49,2.737,250.07,111.644,650.6,650.6,665.7,665.7,653.1,653.1,654.8,654.8,662.6,662.6,657.9,657.9,654.5,654.5,666.2,666.2,656.2,656.2,668.8,668.8,16.76,0.0,0.0,16.71,16.88,0.0,0.0,16.76,16.65,0.0,0.0,16.66,17.04,0.0,16.91,0.0,0.0,17.02,16.71,0.0,34471.22,2022/05/21 05:03:59,2022/05/20 18:11:50,3496.49,3539.71,3529.92,3460.02,3519.52,3473.52,3548.98,3592.79,3536.36,3569.52,10311.08,34468.44,0.0,35266.83,0.0,2022-05-21 11:20:00,2022,5,21,11,5,Saturday,131,491,2022-05-21,17.139326613058476,738296,59,17.297213916058055,-0.009127903705521233
2022-05-24 14:20:00,12759,3850,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,33.1,50.4,2.2,,16.496,950.5,Online,1020C0058922/INVT_08,Grid connected,396.6,393.3,395.5,231.1,226.5,226.7,145.668,146.134,145.919,98.12,67.2,1.0,50.12,99.654,-0.38,488.96,101.542,680.3,680.3,694.4,694.4,683.0,683.0,682.7,682.7,693.0,693.0,686.5,686.5,683.7,683.7,695.6,695.6,685.2,685.2,695.3,695.3,14.6,0.0,0.0,14.48,14.71,0.0,0.0,14.42,14.6,0.0,0.0,14.44,14.76,0.0,14.74,0.0,0.0,14.79,14.56,0.0,36516.51,2022/05/24 05:04:20,2022/05/23 18:06:14,3703.55,3748.92,3739.12,3665.6,3727.5,3679.57,3759.48,3805.4,3746.72,3780.4,12356.37,36513.73,0.0,37356.26,0.0,2022-05-24 14:20:00,2022,5,24,14,1,Tuesday,38,566,2022-05-24,17.15800043445337,738299,62,17.285256443721998,-0.007362112889846482
